Overall Parent NGB,Overall Year,Financial Year,Membership Bucket Def,Revenue Bucket Def,Staff Bucket Def,CEO Salary,Membership Bucket,Membership Size,Revenue Bucket,Staff Bucket,Staff Size,Total Expenses,Total Revenue
USA Golf,2018,Jan 1 - Dec 31,,,< 10,31264,,,4,4,0,62539,166101
USA Fencing,2018,Aug 1 - July 31,,,,162214,2,35000,2,3,21,9838859,10013165
US Soccer Federation,2019,Apr 1 - Mar 31,"> 100,000",> $20M,> 100,930879,1,4126000,1,1,1228,131804573,114695674
USA Team Handball,2019,Jul 1 - Jun 30,"< 10,000",< $2M,< 10,100000,4,800,4,4,3,517489,512624
USA Badminton,2018,Jan 1 - Dec 31,,,< 10,135000,4,4000,4,4,4,909201,1114302
US Equestrian Federation,2018,Dec 1 - Nov 30,,,,437282,1,105000,1,1,181,32855804,32873200
US Squash,2019,Jul 1 - Jun 30,"10,000-30,000",$10M-$20M,30-100,224200,3,17300,2,2,35,6808671,16856078
USA Boxing,2018,Jan 1 - Dec 31,,,,128171,2,44382,3,3,22,6360251,5346576
USA Wrestling,2019,Sept 1 - Aug 31,"> 100,000",$10M-$20M,30-100,385130,1,235000,2,2,54,15617662,13934266
USA Swimming,2018,Jan 1 - Dec 31,,,,721101,1,400000,1,1,106,41156083,34602788
USA Curling,2019,Jul 1 - Jun 30,"10,000-30,000",$2M-$10M,30-Oct,135029,3,23000,3,3,11,2911218,3063513
USA Rugby,2018,Jan 1 - Dec 31,,> $20M,,100391,1,123000,1,2,62,31612359,27365385
USA Table Tennis,2019,Jan 1 - Dec 31,"< 10,000",$2M-$10M,30-Oct,82543,4,7388,3,3,11,2636296,2580601
USA Swimming,2019,Jan 1 - Dec 31,"> 100,000",> $20M,> 100,792207,1,400000,1,1,103,44315915,47616000
US Sailing,2018,Jan 1 - Dec 31,,,,283513,2,46000,2,2,68,11820292,13225017
USA Rugby,2019,Jan 1 - Dec 31,"> 100,000",,30-100,216265,1,123000,1,2,62,,
USA Softball,2018,Jan 1 - Dec 31,,,,159919,1,2200000,2,1,147,12153733,12148685
USA Water Skiing,2019,Jan 1 - Dec 31,"10,000-30,000",< $2M,30-Oct,136750,3,15000,4,3,11,1927860,1853263
USA Baseball,2019,Nov 1 - Oct 31,,$10M-$20M,> 100,309128,,,2,1,148,18499194,18104451
USA National Karate-Do Federation,2019,Jan 1 - Dec 31,"< 10,000",< $2M,< 10,130000,4,3000,4,4,5,1448296,1595104
USA Diving,2019,Jan 1 - Dec 31,"< 10,000",$2M-$10M,30-Oct,98600,4,9700,3,3,11,3031964,2976637
USA Volleyball,2018,Jan 1 - Dec 31,,,,488804,1,360000,1,1,99,29617603,31703481
US Rowing,2019,Jan 1 - Dec 31,"30,000-100,000",$10M-$20M,30-100,211150,2,80000,2,2,51,12655881,12191821
USA Archery,2019,Jan 1 - Dec 31,"10,000-30,000",$2M-$10M,30-Oct,234678,3,21000,3,3,20,4976231,5132180
U.S. Paralympics Swimming,2018,,,,,,,,,,,,
USA Roller Sports,2018,Jan 1 - Dec 31,,,,43820,4,7000,4,3,8,1524976,1488768
USA Track & Field,2018,Jan 1 - Dec 31,,,> 100,4294650,1,131137,1,1,105,33708787,34467171
US National Karate-Do Federation,2018,Jan 1 - Dec 31,,,,107500,4,3000,4,4,5,1286706,1351584
USA Pentathlon,2018,Jan 1 - Dec 31,,,,,4,1000,4,,,466461,537572
USA Boxing,2019,Jan 1 - Dec 31,"30,000-100,000",$2M-$10M,30-Oct,127903,2,44647,3,3,22,5921876,5667602
USA Artistic Swimming,2019,Jan 1 - Dec 31,"< 10,000",,,,4,6000,4,4,,,
US Speed Skating,2019,Jun 1 - May 31,"< 10,000",$2M-$10M,30-Oct,231673,4,2300,3,3,20,4310661,4363762
USA Shooting,2018,Jan 1 - Dec 31,,,,248819,4,5436,3,2,35,8420832,6811421
US Rowing,2018,Jan 1 - Dec 31,,,,204730,2,80000,2,2,48,11521079,11146684
USA Volleyball,2019,Jan 1 - Dec 31,"> 100,000",> $20M,> 100,488951,1,360000,1,1,101,36750334,39171067
US Tennis Association,2018,Jan 1 - Dec 31,,,,1424872,1,654627,1,1,875,461016000,447076000
US Equestrian Federation,2019,Dec 1 - Nov 30,"> 100,000",> $20M,> 100,413876,1,145000,1,1,187,33423683,33631239
US Bowling Congress,2019,Jan 1 - Dec 31,"> 100,000",> $20M,> 100,414681,1,1418000,1,1,119,36668317,37670636
USA Racquetball,2018,Jan 1 - Dec 31,,,,59054,3,12500,4,4,7,1383915,1356057
USA Badminton,2019,Jan 1 - Dec 31,"< 10,000",< $2M,,,4,4000,4,4,,1008403,999436
American Canoe Association,2019,Jan 1 - Dec 31,"30,000-100,000",< $2M,30-Oct,131275,2,39000,4,3,23,1771380,1608120
USA Taekwondo,2019,Jan 1 - Dec 31,"10,000-30,000",$2M-$10M,30-Oct,157190,3,16869,3,3,15,4121669,4011308
USA Climbing,2018,Sept 1 - Aug 31,,,,,3,9760,3,3,10,3380770,3344660
US Bowling Congress,2018,Jan 1 - Dec 31,,,,402730,1,1418000,1,1,119,33896135,34336746
USA Wrestling,2018,Sept 1 - Aug 31,,,,341605,1,230000,2,2,55,13856913,15797789
American Canoe Association,2018,Jan 1 - Dec 31,,,,,2,39000,4,3,,2215373,1885245
USA Taekwondo,2018,Jan 1 - Dec 31,,,,124016,3,16869,3,3,11,3513812,3726585
US Association of Blind Athletes,2019,Jan 1 - Dec 31,"< 10,000",< $2M,,,4,8009,4,,,1302421,1235087
USA Field Hockey,2018,Jan 1 - Dec 31,,,,201867,2,28856,3,2,31,9745818,9779772
USA Triathlon,2019,Jan 1 - Dec 31,"> 100,000",$10M-$20M,30-100,469265,1,400000,2,2,92,18171846,18172685
USA Softball,2019,Jan 1 - Dec 31,"> 100,000",$10M-$20M,> 100,162961,1,1500000,2,1,155,12969635,12899321
US Luge Association,2019,Aug 1 - July 31,"< 10,000",$2M-$10M,30-Oct,130412,4,722,3,3,24,3681600,3557017
USA Weightlifting,2018,Jan 1 - Dec 31,,,,140657,3,27000,3,3,18,6334150,5929626
USA Judo,2019,Jan 1 - Dec 31,"10,000-30,000",$2M-$10M,< 10,114039,3,10300,3,4,9,2060330,2108099
